trm_cde,crs_comp1,crs_comp2,crs_comp3,crs_title,credit_hrs,monday_cde,tuesday_cde,wednesday_cde,thursday_cde,friday_cde,begin_tim,end_tim,last_name,Ref Number,comment_txt
30,COMM,104,A,PUBLIC SPEAKING & RHETORIC,3,,T,,R,,10:05:00 AM,11:20:00 AM,Craig,189,COMM Major Priority
30,COMM,104,B,PUBLIC SPEAKING & RHETORIC,3,,T,,R,,11:30:00 AM,12:45:00 PM,Edwards,190,
10,COMM,104,B,PUBLIC SPEAKING & RHETORIC,3,,T,,R,,11:30:00 AM,12:45:00 PM,Edwards,191,
10,COMM,109,A,FORENSICS,1,M,,,,,3:00:00 PM,3:50:00 PM,Edwards,192,
10,COMM,110,A,PRINCIPLES OF MEDIA,3,,T,,,,6:30:00 PM,9:00:00 PM,Hammond,193,COMM MAJOR 1ST PREF
30,COMM,110,A,PRINCIPLES OF MEDIA,3,,T,,R,,1:00:00 PM,2:15:00 PM,Bandy,194,COMM MAJOR 1ST PREF
10,COMM,135,A,WRITING FOR THE MEDIA,3,M,,W,,F,8:00:00 AM,8:50:00 AM,Miller,195,COMM MAJOR 1ST PREF
10,COMM,135,B,WRITING FOR THE MEDIA,3,M,,W,,F,9:00:00 AM,9:50:00 AM,Miller,196,COMM MAJOR 1ST PREF
10,COMM,212,A,RESEARCH METHODS IN COMM,3,,,W,,,6:30:00 PM,9:00:00 PM,Catanese,197,COMM 110 or 207; COMM MAJOR
10,COMM,222,A,FILM HISTORY & THEORY,3,,T,,R,,1:00:00 PM,2:15:00 PM,Miller,198,
